Flux Density B (T),Frequency (Hz),Temperature (C),Power Loss PV (W/m³)
0.017575106,5000000,100,605722.3563
0.018162836,5000000,100,650282.579
0.018682224,5000000,100,710620.5541
0.019306977,5000000,100,762897.6574
0.020046604,5000000,100,804614.1551
0.02061986,5000000,100,895015.2663
0.021510627,5000000,100,960857.445
0.022334673,5000000,100,1013398.709
0.023190287,5000000,100,1107429.255
0.024078679,5000000,100,1188897.76
0.024883895,5000000,100,1276359.529
0.025837167,5000000,100,1394789.504
0.02670119,5000000,100,1497397.787
0.027594106,5000000,100,1665635.473
0.028516882,5000000,100,1788168.655
0.029470517,5000000,100,1919716.043
0.030456042,5000000,100,2060940.77
0.031474525,5000000,100,2173636.398
0.032680276,5000000,100,2292494.409
0.033614806,5000000,100,2505208.812
0.034902549,5000000,100,2642197.747
0.036069727,5000000,100,2887360.184
0.037451515,5000000,100,3155270.586
0.038703933,5000000,100,3327805.967
0.040186634,5000000,100,3572617.428
0.041530518,5000000,100,3904111.01
0.043121502,5000000,100,4117594.217
0.044563531,5000000,100,4499654.732
0.04648865,5000000,100,4830673.746
0.04804328,5000000,100,5186044.315
0.050118723,5000000,100,5373416.217
0.012654631,700000,25,510.8969775
0.013140425,700000,25,551.6538668
0.013644868,700000,25,595.6621435
0.013969931,700000,25,668.3439176
0.014438072,700000,25,707.9457844
0.0149219,700000,25,794.3282347
0.015349494,700000,25,874.312458
0.015715168,700000,25,980.9947127
0.016318451,700000,25,1059.253725
0.016786064,700000,25,1165.914401
0.017348575,700000,25,1258.925412
0.017929936,700000,25,1385.691863
0.018357083,700000,25,1554.771842
0.01897224,700000,25,1678.804018
0.019608011,700000,25,1883.649089
0.020265087,700000,25,2033.917501
0.020845792,700000,25,2238.721139
0.021342405,700000,25,2610.157216
0.021953981,700000,25,2872.984833
0.022583083,700000,25,3162.27766
0.023339855,700000,25,3349.654392
0.023895884,700000,25,3758.374043
0.024696649,700000,25,4058.198942
0.025404343,700000,25,4466.835922
0.026255658,700000,25,4916.620263
0.027008026,700000,25,5516.538668
0.027913081,700000,25,5843.414134
0.028578058,700000,25,6556.418494
0.029675131,700000,25,7216.611621
0.030525485,700000,25,8097.171416
0.031400207,700000,25,8912.509381
0.032299995,700000,25,9809.947127
0.033225566,700000,25,10797.75162
0.03450105,700000,25,12115.27659
0.035489694,700000,25,13335.21432
0.036506667,700000,25,14677.99268
0.037552783,700000,25,16155.98098
0.038811199,700000,25,17782.7941
0.040111785,700000,25,18836.49089
0.040874452,700000,25,21544.3469
0.042045728,700000,25,23713.73706
0.043250568,700000,25,26101.57216
0.044489934,700000,25,28183.82931
0.045764814,700000,25,31021.77665
0.047076226,700000,25,34807.00588
0.048425217,700000,25,37583.74043
0.050047974,700000,25,39810.71706
0.051482122,700000,25,44668.35922
0.052708589,700000,25,50118.72336
0.053710766,700000,25,56234.13252
0.055249874,700000,25,60720.21957
0.056833084,700000,25,69449.10714
0.058461663,700000,25,74989.42093
0.059854405,700000,25,84139.51416
0.06156956,700000,25,92611.87281
0.063333865,700000,25,103912.2304
0.065148726,700000,25,114375.5863
0.067015594,700000,25,125892.5412
0.068935957,700000,25,135935.6391
0.070578229,700000,25,155477.1842
0.072600681,700000,25,167880.4018
0.074330259,700000,25,184784.9797
0.076460227,700000,25,203391.7501
0.07865123,700000,25,219617.36
0.08014667,700000,25,246414.7308
0.08244331,700000,25,271227.2579
0.084805761,700000,25,304321.9887
0.08641822,700000,25,348070.0588
0.088061337,700000,25,398107.1706
0.089735696,700000,25,455337.4104
0.091873484,700000,25,501187.2336
0.093180525,700000,25,573235.8369
0.095850657,700000,25,630957.3445
0.098134122,700000,25,735642.2545
0.100471987,700000,25,874312.458
0.010142265,1000000,25,595.6621435
0.010531613,1000000,25,655.6418494
0.010884533,1000000,25,721.6611621
0.011143837,1000000,25,809.7171416
0.011517274,1000000,25,874.312458
0.011847307,1000000,25,962.3506264
0.012129547,1000000,25,1079.775162
0.012536015,1000000,25,1165.914401
0.012956104,1000000,25,1234.999173
0.01326476,1000000,25,1385.691863
0.013580768,1000000,25,1525.222957
0.014102115,1000000,25,1646.897865
0.014574685,1000000,25,1812.730881
0.015134187,1000000,25,1995.262315
0.015567864,1000000,25,2196.1736
0.016089553,1000000,25,2417.315481
0.016707208,1000000,25,2712.272579
0.017185961,1000000,25,2985.382619
0.017678433,1000000,25,3285.993248
0.018185017,1000000,25,3616.873614
0.018706117,1000000,25,3905.410294
0.019424219,1000000,25,4298.662347
0.019886965,1000000,25,4731.51259
0.020360735,1000000,25,5308.844442
0.021142356,1000000,25,5732.358369
0.021953981,1000000,25,6431.811877
0.022689672,1000000,25,7079.457844
0.023450016,1000000,25,7644.222743
0.024121987,1000000,25,8576.958986
0.024930329,1000000,25,9261.187281
0.02564472,1000000,25,10193.73486
0.026504089,1000000,25,11220.18454
0.027392257,1000000,25,12349.99173
0.028177195,1000000,25,13856.91863
0.028712943,1000000,25,15848.93192
0.029675131,1000000,25,17113.28304
0.030525485,1000000,25,18478.49797
0.031400207,1000000,25,20733.21573
0.032759512,1000000,25,22387.21139
0.033539947,1000000,25,25118.86432
0.03450105,1000000,25,27648.18754
0.035825497,1000000,25,30432.19887
0.037026031,1000000,25,34145.48874
0.038447409,1000000,25,36869.45065
0.039549137,1000000,25,40581.98942
0.040874452,1000000,25,45533.74104
0.042643894,1000000,25,47315.1259
0.043454705,1000000,25,54116.95265
0.045122871,1000000,25,56234.13252
0.046197841,1000000,25,61896.58189
0.047076226,1000000,25,69449.10714
0.048653777,1000000,25,76442.22743
0.050521529,1000000,25,82540.41853
0.051725111,1000000,25,92611.87281
0.053207318,1000000,25,101937.3486
0.054731999,1000000,25,112201.8454
0.056035888,1000000,25,123499.9173
0.057913683,1000000,25,135935.6391
0.05929337,1000000,25,149623.5656
0.060992449,1000000,25,164689.7865
0.062445482,1000000,25,181273.0881
0.064538067,1000000,25,199526.2315
0.066387435,1000000,25,223872.1139
0.068289798,1000000,25,251188.6432
0.070911349,1000000,25,266072.506
0.072259625,1000000,25,298538.2619
0.073981078,1000000,25,328599.3248
0.07610104,1000000,25,361687.3614
0.078281751,1000000,25,390541.0294
0.080524951,1000000,25,421696.5034
0.082832431,1000000,25,464158.8834
0.084805761,1000000,25,530884.4442
0.086826103,1000000,25,607202.1957
0.088894575,1000000,25,694491.0714
0.091012324,1000000,25,779231.7984
0.093180525,1000000,25,891250.9381
0.095850657,1000000,25,1000000
0.098134122,1000000,25,1122018.454
0.100471987,1000000,25,1333521.432
0.01009462,1500000,25,1678.804018
0.010383886,1500000,25,1847.849797
0.010731856,1500000,25,2033.917501
0.010987523,1500000,25,2282.092971
0.011355721,1500000,25,2417.315481
0.01162625,1500000,25,2660.72506
0.012015853,1500000,25,2818.382931
0.012418511,1500000,25,3102.177665
0.012774369,1500000,25,3480.700588
0.013202446,1500000,25,3758.374043
0.013644868,1500000,25,3981.071706
0.014035868,1500000,25,4553.374104
0.014506218,1500000,25,4823.178482
0.01499233,1500000,25,5207.948329
0.015349494,1500000,25,6072.021957
0.01593874,1500000,25,6309.573445
